Date,DOG
4/30/2018,60.32
5/1/2018,60.52
5/2/2018,60.96
5/3/2018,60.96
5/4/2018,60.12
5/7/2018,59.92
5/8/2018,59.96
5/9/2018,59.48
5/10/2018,58.96
5/11/2018,58.72
5/14/2018,58.56
5/15/2018,59.04
5/16/2018,58.92
5/17/2018,58.88
5/18/2018,59
5/21/2018,58.28
5/22/2018,58.68
5/23/2018,58.56
5/24/2018,58.72
5/25/2018,58.86
5/29/2018,59.79
5/30/2018,59
5/31/2018,59.62
6/1/2018,59.09
6/4/2018,58.66
6/5/2018,58.67
6/6/2018,57.86
6/7/2018,57.67
6/8/2018,57.5
6/11/2018,57.48
6/12/2018,57.49
6/13/2018,57.77
6/14/2018,57.82
6/15/2018,58.02
6/18/2018,58.26
6/19/2018,58.93
6/20/2018,58.92
6/21/2018,59.4
6/22/2018,59.1
6/25/2018,59.9
6/26/2018,59.86
6/27/2018,60.25
6/28/2018,59.99
6/29/2018,59.87
7/2/2018,59.83
7/3/2018,60.11
7/5/2018,59.7
7/6/2018,59.45
7/9/2018,58.65
7/10/2018,58.31
7/11/2018,58.83
7/12/2018,58.33
7/13/2018,58.09
7/16/2018,58.01
7/17/2018,57.88
7/18/2018,57.69
7/19/2018,57.98
7/20/2018,58.02
7/23/2018,58.04
7/24/2018,57.63
7/25/2018,57.19
7/26/2018,56.97
7/27/2018,57.17
7/30/2018,57.48
7/31/2018,57.24
8/1/2018,57.43
8/2/2018,57.43
8/3/2018,57.17
8/6/2018,57.05
8/7/2018,56.76
8/8/2018,56.91
8/9/2018,56.99
8/10/2018,57.44
8/13/2018,57.73
8/14/2018,57.48
8/15/2018,57.76
8/16/2018,56.87
8/17/2018,56.59
8/20/2018,56.41
8/21/2018,56.26
8/22/2018,56.48
8/23/2018,56.64
8/24/2018,56.34
8/27/2018,55.75
8/28/2018,55.75
8/29/2018,55.6
8/30/2018,55.9
8/31/2018,55.96
9/4/2018,55.95
9/5/2018,55.94
9/6/2018,55.86
9/7/2018,56.05
9/10/2018,56.18
9/11/2018,55.93
9/12/2018,55.88
9/13/2018,55.56
9/14/2018,55.56
9/17/2018,55.77
9/18/2018,55.37
9/19/2018,55.04
9/20/2018,54.52
9/21/2018,54.4
9/24/2018,54.75
9/25/2018,54.87
9/26/2018,54.94
9/27/2018,54.82
9/28/2018,54.82
10/1/2018,54.39
10/2/2018,54.17
10/3/2018,54.07
10/4/2018,54.48
10/5/2018,54.85
10/8/2018,54.75
10/9/2018,54.88
10/10/2018,56.58
10/11/2018,57.85
10/12/2018,57.18
10/15/2018,57.41
10/16/2018,56.15
10/17/2018,56.36
10/18/2018,57.07
10/19/2018,56.93
10/22/2018,57.2
10/23/2018,57.48
10/24/2018,58.9
10/25/2018,57.92
10/26/2018,58.65
10/29/2018,59.21
10/30/2018,58.19
10/31/2018,57.63
11/1/2018,57.03
11/2/2018,57.34
11/5/2018,56.89
11/6/2018,56.49
11/7/2018,55.28
11/8/2018,55.22
11/9/2018,55.65
11/12/2018,56.93
11/13/2018,57.17
11/14/2018,57.62
11/15/2018,57.13
11/16/2018,56.83
11/19/2018,57.76
11/20/2018,59.03
11/21/2018,59.02
11/23/2018,59.48
11/26/2018,58.62
11/27/2018,58.33
11/28/2018,56.88
11/29/2018,56.91
11/30/2018,56.52
12/3/2018,55.81
12/4/2018,57.53
12/6/2018,57.74
12/7/2018,59.02
12/10/2018,58.96
12/11/2018,59.09
12/12/2018,58.7
12/13/2018,58.56
12/14/2018,59.75
12/17/2018,60.97
12/18/2018,60.81
12/19/2018,61.68
12/20/2018,62.96
12/21/2018,64.15
12/24/2018,65.91
12/26/2018,62.5
12/27/2018,61.83
12/28/2018,62.04
12/31/2018,61.34
1/2/2019,61.31
1/3/2019,63.03
1/4/2019,60.99
